TLID,NAME,WEIGHT
62084322,62084322_forward,15.225
62084323,62084323_backward,119.80646
62043239,62043239_backward,11.13728
62074869,62074869_backward,469.05098
62090403,62090403_forward,117.74797
62090404,62090404_forward,69.86546
62092987,62092987_backward,125.99486
62104216,62104216_forward,436.83036
62091958,62091958_backward,230.70479
62096758,62096758_forward,202.15327
62103251,62103251_forward,98.8426
62106077,62106077_backward,257.67782
62084178,62084178_backward,150.5872
62092857,62092857_backward,91.48819
62046629,62046629_backward,79.39578
62046611,62046611_backward,20.54031
62046613,62046613_forward,145.72789
62046614,62046614_backward,214.42583
62045304,62045304_forward,241.35935
62045307,62045307_backward,126.42236
62045217,62045217_forward,303.08369
62054269,62054269_backward,8.85842
62045215,62045215_backward,133.21758
62054269,62054269_forward,8.85842
62045217,62045217_backward,303.08369
62045303,62045303_forward,129.02119
62045304,62045304_backward,241.35935
62045182,62045182_backward,164.09081
62045194,62045194_forward,112.55835
62045195,62045195_forward,281.67511
62045044,62045044_forward,312.85012
62045045,62045045_backward,134.70352
62094545,62094545_backward,393.61793
62045063,62045063_backward,73.30698
62045065,62045065_backward,121.08872
62045067,62045067_forward,529.40896
62045312,62045312_backward,372.02937
62088360,62088360_backward,384.33214
62099546,62099546_forward,163.26753
62045303,62045303_backward,129.02119
62045305,62045305_forward,117.12944
62099564,62099564_backward,445.24873
62048685,62048685_backward,89.30944
62048687,62048687_backward,131.64388
62043239,62043239_forward,11.13728
62043240,62043240_forward,10.92404
62043243,62043243_backward,204.85284
62091777,62091777_backward,222.8466
62091964,62091964_backward,67.36208
62043240,62043240_backward,10.92404
62084331,62084331_backward,134.51003
62105289,62105289_backward,115.30497
62045215,62045215_forward,133.21758
62045216,62045216_forward,532.27103
62045222,62045222_backward,833.55381
62098480,62098480_backward,193.11188
62084171,62084171_backward,79.39979
62084180,62084180_forward,84.88993
62084181,62084181_backward,177.88781
62084182,62084182_forward,134.28432
62047393,62047393_forward,91.10949
62047390,62047390_forward,87.94861
62092941,62092941_forward,194.92509
62100499,62100499_backward,510.79618
62045195,62045195_backward,281.67511
62045196,62045196_forward,74.46037
62045198,62045198_forward,167.89441
62045204,62045204_backward,474.21594
62045315,62045315_backward,358.95102
62045311,62045311_backward,477.13047
62043725,62043725_backward,436.06203
